Project #,Country,Region,Audience,Data Type,Aim,Taxa,Environment,Start year,End year,Duration,Design,Engagement,SM,SM YN,Skills,Contribution Frequency,Species ID materials,Guidelines,Training,TrainingYN,Map,Active informing,Feedback,Support,Number of participants,Number of alien or invasive alien species records,Number of publications
1,Poland,Eastern,Anyone (general public),"Species presence and/or abundance, Early detection, Rate of spread","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Education",All,Marine,2019,Still running,1,Contributory,"Live training, e.g., courses or workshops",Facebook,Yes,Limited,One-off,Partially,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Yes,Yes,Yes,Info not available,Info not available,
2,Germany,Western,Anyone (general public),"Species presence and/or abundance, Changes in abundance, Early detection, Rate of spread","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Effectiveness of management, Education, Awareness raising",Plants,"Freshwater, Terrestrial, Urban",2010,Still running,10,Collaborative,"Newsletters, Social media, Website, School engagement",Twitter,Yes,Advanced,One-off,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Yes,,Yes,101 - 500,2001 - 5000,1 to 5
3,Albania,Eastern,"Anyone (general public), Fishermen, University students, Scientists","Species presence and/or abundance, Collecting lists of species, Measuring impacts, Early detection","Mapping of alien species, Monitoring or surveillance, Early warning, Education, Awareness raising, Fun",All,Urban,2017,,,Collaborative,"Newsletters, Social media, Website, School engagement","Facebook, Twitter, Instagram",Yes,Limited,Irregular,Yes,Yes,Online training,Yes,No,Yes,Yes,Yes,1 - 50,51 - 100,1 to 5
4,Portugal,Southern,"Fishermen, School students, University students, Scientists","Species presence and/or abundance, Changes in abundance, Collecting lists of species, Measuring impacts, Evidence of impacts on biodiversity, Rate of spread, Experimental data","Mapping of alien species, Monitoring or surveillance, Effectiveness of management, Engagement",Plants,"Terrestrial, Urban",2018,Still running,2,Collaborative,"Website, Exhibitions, Live training, e.g., courses or workshops, School engagement","Facebook, YouTube",Yes,Limited,,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Request,Yes,Yes,Yes,101 - 500,101 - 500,1 to 5
5,Portugal,Southern,Anyone (general public),Species presence and/or abundance,Mapping of alien species,Plants,"Terrestrial, Urban",2013,Still running,7,Contributory,"Social media, Website, Live training, e.g., courses or workshops, School engagement, Other","Facebook, Instagram",Yes,Limited,Irregular,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,Partially,No,Yes,501 - 1000,10001 - 50000,1 to 5
6,Portugal,Southern,"Anyone (general public), Land managers, Scientists","Species presence and/or abundance, Early detection","Prevention, Monitoring or surveillance, Early warning, Awareness raising",Insects,"Freshwater, Terrestrial, Urban",2017,Still running,3,Collaborative,"Newsletters, Social media, Website, Live training, e.g., courses or workshops","Facebook, Twitter, Instagram",Yes,Limited,Regular,Yes,Yes,"Group training, e.g., workshops, courses, etc., Online training",Yes,No,Partially,Yes,Yes,,1 - 50,6 to 10
7,Italy,Southern,Anyone (general public),Species presence and/or abundance,"Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Education","Plants, Molluscs, Fish, Other",All,2017,2017,1,Collaborative,Social media,Facebook,Yes,None,Regular,Yes,Yes,Online training,Yes,No,Yes,Yes,Yes,501 - 1000,51 - 100,1 to 5
8,Spain,Southern,"Anyone (general public), School students","Species presence and/or abundance, Changes in abundance, Early detection, Rate of spread","Mapping of alien species, Monitoring or surveillance, Early warning, Effectiveness of management, Education, Testing scientific hypothesis",Insects,"Terrestrial, Other",2014,Still running,6,Contributory,"Newsletters, Social media, Website, Exhibitions, Live training, e.g., courses or workshops, School engagement, Gaming","Facebook, Twitter",Yes,Limited,One-off,Yes,Yes,"Group training, e.g., workshops, courses, etc., Online training, None",Yes,Yes,Yes,Yes,Yes,> 10000,5001 - 10000,11 to 20
9,"Spain, Belgium, Mexico","Western, Southern",Anyone (general public),"Species presence and/or abundance, Early detection","Mapping of alien species, Education, Awareness raising","Plants, Mammals, Birds, Insects",All,2015,Still running,5,Collaborative,"Social media, Live training, e.g., courses or workshops","Facebook, Twitter, Instagram",Yes,None,Irregular,Yes,No,None,No,Yes,Yes,Yes,Yes,Info not available,1001 - 2000,0
12,"Portugal, Spain",Southern,"Anyone (general public), Fishermen, School students, University students, Scientists","Species presence and/or abundance, Collecting lists of species, Early detection, Rate of spread","Mapping of alien species, Prevention, Monitoring or surveillance, Early warning, Testing scientific hypothesis",Fish,"Terrestrial, Other",2017,Still running,3,Contributory,,Facebook,,None,,Yes,Yes,"Group training, e.g., workshops, courses, etc.",Yes,Yes,,,,Info not available,Info not available,
